what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1467529431101
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1467529431498
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1467529431524
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1467529431534
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467529433480
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1467529433608
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1467529433628
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1467529433658
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1467529433659
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1467529433801
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1467529433808
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1467529434049
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1467529434050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529439504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529455722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529462958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529473773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529495372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529503623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529506663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529575275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529577535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529588849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467529592383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529600015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529623793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1467529623814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529627974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529815158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467529817818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530009342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530019632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530264863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467530527533
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1467530572223
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1467530572567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467530584150
